,Ingredient,Count
0,oil,1515
1,ground,1271
2,pepper,1156
3,fresh,965
4,olive,902
5,garlic,822
6,black,715
7,red,701
8,butter,660
9,juice,653
10,leaves,650
11,lemon,647
12,extravirgin,616
13,cloves,564
14,white,517
15,vinegar,495
16,seeds,494
17,flour,405
18,powder,394
19,onion,393
20,vegetable,387
21,sauce,367
22,cream,337
23,lime,331
24,rice,315
25,dried,310
26,chicken,309
27,wine,295
28,allpurpose,293
29,eggs,283
30,green,281
31,vanilla,269
32,milk,259
33,coconut,258
34,ginger,255
35,brown,242
36,cilantro,237
37,baking,235
38,egg,231
39,cheese,228
40,parsley,225
41,tomatoes,225
42,dry,220
43,extract,212
44,honey,210
45,sesame,202
46,chile,170
47,clove,169
48,granulated,169
49,cinnamon,166
50,orange,165
51,paste,163
52,mustard,161
53,scallions,155
54,light,154
55,soy,153
56,chiles,151
57,thyme,150
58,mint,150
59,basil,149
60,heavy,145
61,yogurt,145
62,plain,143
63,sweet,142
64,beans,137
65,parmesan,134
66,cumin,134
67,bread,130
68,syrup,127
69,potatoes,124
70,apple,119
71,paprika,116
72,onions,116
73,raw,115
74,chocolate,114
75,stick,112
76,dark,108
77,soda,106
78,pork,106
79,dill,103
80,coriander,98
81,corn,98
82,wholemilk,97
83,cider,96
84,yellow,96
85,frozen,95
86,tomato,95
87,broth,92
88,oregano,92
89,smoked,91
90,greek,91
91,mayonnaise,90
92,celery,89
93,fennel,89
94,fine,89
95,bay,88
96,rosemary,88
97,virgin,86
98,baby,85
99,carrots,85
100,cherry,84
101,ribs,81
102,maple,78
103,turmeric,77
104,mushrooms,77
105,fish,77
106,dijon,75
107,serrano,74
108,sour,73
109,cayenne,72
110,avocado,72
111,grill,71
112,cucumbers,71
113,rounds,69
114,sherry,69
115,spice,68
116,chili,68
117,shallots,68
118,kale,67
119,bell,67
120,yolks,67
121,peppercorns,66
122,stalks,65
123,beef,65
124,lettuce,65
125,almonds,65
126,squash,64
127,shrimp,61
128,chives,61
129,radishes,60
130,persian,59
131,fillets,59
132,peppers,59
133,cardamom,58
134,cabbage,57
135,shallot,57
136,almond,57
137,bacon,57
138,chips,55
139,olives,55
140,italian,54
141,pasta,53
142,cocoa,53
143,spinach,53
144,gold,52
145,cornstarch,52
146,noodles,51
147,salmon,51
148,tahini,51
149,nutmeg,51
150,fresno,50
151,buttermilk,50
152,chickpeas,50
153,ricotta,49
154,japanese,49
155,canola,48
156,thai,48
157,peanut,48
158,pineapple,48
159,jalapeño,48
160,peanuts,48
161,peas,48
162,curry,47
163,organic,47
164,pumpkin,46
165,limes,46
166,miso,45
